table: 24E10B40
	helicopter_snipers_drills | table: 53C62B20
		_name | helicopter_snipers_drills
		_save_states | table: 53D80AC0 (empty)
		_elements | table: 53C63BA0
			101152 | table: 53D80320
				__name | ElementSpecialObjective
				_values | table: 53C622E0
					so_action | AI_sniper
					on_executed | table: 53C62300 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | true
					search_position | Vector3(425, 4425, 2000)
					search_distance | 0
					patrol_path | none
					scan | true
					SO_access | 16348
					rotation | Rotation(90, -0, -0)
					pose | none
					repeatable | false
					enabled | true
					interval | -1
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | false
					base_delay | 0
					align_rotation | true
					align_position | true
					interrupt_on | none
					position | Vector3(325, 4625, 2000)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53C62B20 (repeat)
				_values_extensions | table: 53D80340 (empty)
				_editor_name | point_special_objective_016
				_events | table: 53D803A0 (empty)
				_id | 101152
			101154 | table: 53D80480
				__name | ElementSpecialObjective
				_values | table: 53C623E0
					so_action | AI_sniper
					on_executed | table: 53C62400 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | true
					search_position | Vector3(350, 3550, 2000)
					search_distance | 0
					patrol_path | none
					scan | true
					SO_access | 16348
					rotation | Rotation(44.9999, -0, -0)
					pose | none
					repeatable | false
					enabled | true
					interval | -1
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | false
					base_delay | 0
					align_rotation | true
					align_position | true
					interrupt_on | none
					position | Vector3(325, 2875, 2000)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53C62B20 (repeat)
				_values_extensions | table: 53D804A0 (empty)
				_editor_name | point_special_objective_018
				_events | table: 53D80500 (empty)
				_id | 101154
			101141 | table: 53C63CA0
				__name | MissionScriptElement
				_values | table: 53C61EC0
					enabled | true
					on_executed | table: 53C61EE0
						1 | table: 53C61F00
							delay | 0
							id | 101144
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-90, 0, -0)
					position | Vector3(500, 5751, 2451.94)
					execute_on_startup | true
				_mission_script | table: 53C62B20 (repeat)
				_values_extensions | table: 53C63CC0 (empty)
				_editor_name | logic_link_030
				_element_group | MissionScriptElement
				_id | 101141
			101160 | table: 53D80A40
				__name | MissionScriptElement
				_values | table: 53C62700
					enabled | true
					on_executed | table: 53C62720
						1 | table: 53C62740
							delay | 0
							id | 101146
						2 | table: 53C62760
							delay | 0
							id | 101145
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(90, -0, -0)
					position | Vector3(-750, 4500, 2200)
					execute_on_startup | false
				_mission_script | table: 53C62B20 (repeat)
				_values_extensions | table: 53D80A60 (empty)
				_editor_name | logic_link_start_snipers
				_element_group | MissionScriptElement
				_id | 101160
			101145 | table: 53C63E20
				__name | ElementScenarioEvent
				_values | table: 53C61FC0
					enabled | true
					on_executed | table: 53C61FE0
						1 | table: 53C62000
							delay | 0
							id | 101146
						2 | table: 53C62020
							delay | 0
							id | 101155
					debug | false
					chance_inc | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-90, 0, -0)
					base_chance | 1
					amount | 1
					execute_on_startup | false
					trigger_times | 0
					task | any
					position | Vector3(-1425, 4325, 1893.13)
				_element_group | ElementScenarioEvent
				_mission_script | table: 53C62B20 (repeat)
				_values_extensions | table: 53C63E40 (empty)
				_editor_name | func_scenario_event_006
